fishnetid,CO2
0,2384.5017420606737
1,9913.998451222029
2,2867.897096794392
3,3586.4294028543886
4,1703.6817676385267
5,1333.634562750081
6,1941.3660957117208
7,5244.214650048582
9,7000.0493176091895
10,4329.353336426918
11,974.4240965212706
12,1932.1673427476483
13,9135.72860355519
14,9198.356918407342
15,10029.924307653713
16,7053.98298641145
17,5860.817068795231
18,2761.690973489433
19,6761.718388252373
20,1198.0636539687039
21,9084.544146508382
22,8237.328509279865
23,12239.967576519766
24,15334.147438559801
25,2290.396341919378
26,10018.377580124748
27,9650.509961315827
28,8716.04788433942
29,8342.327812155798
30,7392.238779595564
31,5667.303034410873
32,9358.511040843216
33,24807.28604286168
34,18232.07383793751
35,12202.890935593823
36,14182.494533308018
37,13607.430592615236
38,5438.4907693919595
39,9793.762699443965
40,1373.7914418867267
41,1370.6198020612605
42,10782.226877350435
43,8039.441054492441
44,1778.1410488452727
45,1698.4872547360487
46,14241.212675294648
47,9732.20113677439
49,8510.700505928522
50,2218.3123015525393
51,8744.80903593423
52,11054.225367724208
54,6792.684567121794
55,4147.828050640683
56,1293.3185985048972
57,6907.853505726871
59,2512.4291769247475
60,17966.882678286816
61,329.18521773526777
63,8001.598195291413
64,7020.011822489721
65,5852.350119109565
66,9254.813690289468
67,10605.092645229737
68,1474.383966370879
69,1541.6726139853095
70,5641.403831722264
71,6334.780397532368
72,4114.57702412949
73,6423.785283290314
74,7861.512290970325
75,148.11492872702564
76,4706.691217548448
77,1156.5670824496274
