from,to,length,capacity,volume,EstimatedTT,Speed,CO2
26759727,26759737,271.658,700,370.3355760415064,19.58127104343538,13.873358853845872,21.16397235883192
26759730,26759727,16.887,700,580.2172991865273,1.22406481039527,13.795838142383097,2.064871503338797
26759665,26759668,47.624,700,641.1985714228445,3.43984196816022,13.844822070553267,6.428050050628332
26759727,26759728,12.576000000000002,700,3102.2243897923227,2.484616925679948,5.061544848229838,15.774404736817438
26759728,26759869,449.696,700,1405.9081867968243,66.51044172997996,6.761284217983129,204.31968099636433
26759739,26759728,268.734,700,191.2255270884896,19.349335183657757,13.888539190068393,10.80684526001212
262091049,26759668,831.031,700,2012.3960896439917,78.3123489820219,10.611749114954769,396.1030590294898
26759728,26759729,16.701,700,1887.5417300839893,5.801174708360418,2.8788996780136955,18.86611998366945
26960758,29271261,9.577,700,1575.9356508977187,0.942663138393786,10.159514687630997,3.6658398443395073
26960758,2884508640,601.451,700,1814.8950040878185,71.26515957953733,8.439621879029612,299.2676711459518
35107206,35107210,51.68999999999999,700,1525.7146625020034,4.9218461868443875,10.502156718786194,18.789069597987393
29122661,35107206,53.83899999999999,700,779.4627172341366,4.30751491047912,12.49885400721957,9.171553762576226
29271261,29273080,17.087,700,777.8164110275254,1.257062828073744,13.592797128671132,2.8144772116139882
29271261,29219438,461.975,700,2540.1042243481547,115.66959697035605,3.9939189908165376,565.5956869371705
29273080,26960758,16.491,700,1349.2032268455655,2.37274699099053,6.950172126491939,7.040233331117758
29273065,26960758,529.365,700,2041.6274281399703,50.58374494440115,10.465120773122843,258.00758707379003
29276217,26960762,855.2449999999999,700,2134.9640736000106,137.71440219086597,6.210280017152228,630.1778349993583
29215046,26960762,857.487,700,1856.0662060226423,105.34473497691206,8.139818285061247,447.7168978520756
2884508640,29270503,84.061,700,913.2547941972368,7.320829305377196,11.482442288096605,17.440347865886405
2884508640,29271693,1730.916,900,3613.4509492912393,271.0368479903561,6.386275566714046,2112.3455920569368
29215046,287447547,24.401,700,1836.3687024486944,98.06739659398171,0.24881867825068238,52.24332359025623
287447524,29215046,26.794,700,1161.9638592156405,18.88170216158945,1.4190457920952875,26.199693510793185
3243910627,29276217,44.246,700,1666.0649049649655,3.647910262459326,12.1291360852091,16.32069736831309
29276213,29276217,77.932,700,1423.544717660343,12.553460150170572,6.208009510345328,38.299426298680004
358082698,26953063,139.386,700,1606.7486147173631,50.312936285418125,2.770380945554103,137.15222514530734
1679931219,2453778078,53.60799999999999,700,1606.7486147173631,213.11211869067995,0.25154834145217686,100.34249023744822
1679931219,26953063,634.232,700,1525.511424283392,83.8693350711969,7.56214413124414,287.2471174081578
26953063,358082698,139.593,700,1525.511424283392,44.0837545451781,3.1665406324894967,120.11028865369697
26953133,27541017,72.821,700,1525.511424283392,6.933008361564906,10.503521155939147,26.46460499716623
27541045,26953133,83.637,700,1606.7486147173631,18.11382657700278,4.617301575923505,58.25019733355627
2453778078,1679931219,53.453,700,1525.511424283392,173.8736654062488,0.30742435822646996,93.4191139453898
26953133,358082698,463.034,700,1606.7486147173631,34.164916319795246,13.552908945124997,157.70454064598718
27541045,27541017,16.029,2000,9.143037594373917,1.15408800001968,13.88888888865205,0.03081938473679186
