fishnetid,CO2
0,14434.88549167889
1,5278.668547344783
2,5520.668346718034
3,9828.633969589888
4,9605.204910478034
5,14323.465108207209
6,7716.955265825054
7,5588.310334443091
8,11874.867838430851
9,9281.022246614373
10,11716.96413676053
11,10000.699314494932
12,14949.153240785747
13,3293.7337770123545
14,23054.947306779883
15,10547.03729426541
16,1065.1387051949548
17,24118.187864082625
18,25032.60665594148
19,24899.61938910863
20,21144.55919215693
21,19987.09626226763
22,34357.35403081893
23,23116.947763578813
25,18929.33821326756
26,27969.845283267652
27,9465.529028970406
28,7549.932494326489
29,7250.8417973862615
30,3067.737329753559
31,9998.642796885832
32,4363.514930362354
33,14428.691685847332
34,9866.579136625614
35,24894.722790311247
36,50608.3712654951
37,19890.99897079669
38,30125.855590718274
39,13247.168675517996
40,10645.640339840313
41,56657.744330187044
42,26377.99385994662
43,2430.7448162426335
44,9922.730476749517
45,12403.217774802648
46,14842.360103976704
48,30392.559818242098
49,8611.794794357822
50,6488.761183906887
51,21269.79677954148
52,24970.83607297392
53,13012.495610172566
54,9071.641233441651
55,10533.966634912202
56,10581.154631239837
57,16844.483858356147
58,13489.450473251725
59,10334.46475048947
60,11359.409589452407
61,23093.28120890313
62,28490.119062618607
63,27070.909964668506
64,41974.79360973348
65,21044.08796276263
66,55966.38489199656
67,32700.7982675413
68,32790.23258974485
69,5404.870139554802
70,19223.00376752798
72,33473.06025539059
73,16024.416803317807
74,18158.300471404633
75,13698.23056544628
76,14716.821447462207
77,9480.104034921304
78,21515.304755869194
79,23797.22706485952
80,28385.713137006645
81,17135.337655296324
82,13769.026674158229
83,71308.21660015384
84,30138.497413609213
85,15351.634631610037
86,862.142045819814
87,5322.154833814902
88,17891.49587536175
89,22341.66055101558
90,12844.190920749294
91,11210.143862026076
92,11323.326128285875
93,26754.377767922128
94,21720.27456470329
95,11247.340350820314
96,20518.002566355906
97,51944.48206796104
98,24082.133510952473
99,9067.371014936565
100,6461.279801642616
101,19217.20456598153
102,16150.403751098342
103,16354.292108993275
104,23703.494970597334
106,10862.905859507724
107,5194.929942693504
108,3732.218436315939
109,1366.7577410644517
110,6876.436341449349
111,7094.960402546958
112,3357.446590395408
