fishnetid,CO2
0,4354.23640861403
1,16388.11558639415
2,18779.185219073297
3,19737.73116081878
4,15212.462494534217
5,9666.858488885504
6,6139.549108041003
7,6247.308617282229
8,14807.485060326102
9,11364.89282630069
10,13213.633373095647
11,49004.82724000221
12,32040.035086190812
13,32010.014334800428
14,30032.58886895967
15,12519.245255163223
17,14362.534164955561
18,22691.734858575677
19,37783.35200325576
20,16413.24265465379
21,39177.93674169514
22,27003.095083784377
23,40411.270012299785
24,15452.50973133004
25,6266.392171432626
26,14554.56463594598
27,26035.889071414153
28,36383.48410969625
29,43857.301767794546
30,19351.2392244236
31,13315.313316829312
32,15262.795382857523
33,12064.570232263222
34,30014.42947494279
35,48524.76087166182
36,34934.942355732215
37,12090.184151234162
38,5967.120126631076
39,26642.78915764033
40,43614.17826576315
41,43774.67358917629
42,24352.666285989173
43,18318.780850253836
44,31450.44071350292
45,20208.91440252206
46,28230.5646008097
47,31884.164140578498
48,30453.39641443893
49,36163.922651496985
50,23057.70781542793
51,12706.153261701618
52,53687.63196071126
53,42891.25137423646
54,11031.786298424526
55,15768.006719187877
56,21090.094323110283
57,23155.214074625255
58,7203.704022712531
59,16653.966178434366
60,31935.322388553323
61,37004.21541043746
62,14041.39312587818
63,11189.47479302592
64,11731.833166068394
65,22075.791534057076
66,11282.854066576565
67,52754.01178697269
68,17674.98450889805
69,15448.094597189696
70,23896.716515931534
71,26222.18032680672
72,28018.389103144753
73,26399.79236266141
74,26177.846575930555
75,44513.532471169
76,18502.885448801888
77,24283.00587898564
79,16649.022469407988
80,22926.536347186164
81,23152.31515304231
82,20809.460303900294
83,7472.25524166555
84,22060.643833284692
85,28584.171829377665
86,18244.949339090377
87,46477.78832547496
88,17203.382227068298
89,21715.528137918784
90,26529.607628295944
91,27856.836797389995
92,13076.907445362278
93,30078.150613815014
94,30685.4513124906
95,17874.15707228866
96,15586.75784753151
97,14940.545845019678
98,11577.478221180778
99,13028.488420295016
100,11679.607916414783
101,10428.190771846967
102,29224.07547759085
103,50157.254840408445
104,28776.916160829707
105,9894.73126268268
106,37112.12897398842
107,45431.07393059587
108,25341.851142566564
109,23579.938167507516
110,3897.618683113423
111,9663.974902470874
112,24502.966344594483
113,4298.849208440192
114,7471.934554799548
115,9708.929378238141
116,15581.79103916674
