fishnetid,CO2
0,15082.93423215099
1,21953.140331127113
2,31384.896039829386
3,16186.704928649731
4,15407.998198458929
5,10536.182721912164
6,12886.793220865406
7,6069.083376216371
8,676.1360718749496
9,18273.17648693253
10,13756.008824829194
11,8978.312957184924
12,6368.28036365799
13,6667.5650937969895
14,10255.637278573873
15,19055.02882262131
16,7569.632549274822
17,11354.178122392908
18,8339.511490123672
19,12273.935805907124
20,2473.0141402860904
21,8133.068469978125
22,2143.5329313548928
23,2941.9770312686633
25,25687.80075617165
26,3850.4840804128735
27,4159.0202166508325
28,2969.458758395235
29,3319.691799929477
30,7402.182309080654
31,7741.790946778614
32,5065.387165521242
33,5222.239269560841
34,4819.141729953686
35,6000.4841987424215
36,7808.738786505957
37,14836.14573395605
38,9427.3783591081
39,18016.60276234205
40,4104.8989642638
41,3562.1713247855464
42,4290.084989072352
43,3244.8159555376933
44,5168.21319116469
45,17744.457595856446
46,4032.28219205528
47,14078.84148045682
48,23267.537625622517
49,22215.406131922467
50,6194.409325393932
51,2634.19645709506
52,2425.0906659786833
53,4426.602487652098
54,2958.2755669423814
55,2185.389582084391
56,1373.9095764890544
57,1390.191350268976
58,2723.340918116656
59,3849.16289003153
60,5828.678725435395
61,5719.817514219993
62,4083.830059118276
63,10309.543244431843
64,11292.97305015564
65,13752.943635000858
67,16672.571635506534
68,19002.18703213054
69,13002.675967667004
70,12211.851630003737
71,9808.30436359839
72,11520.752883120256
73,848.5532994637056
74,14652.695683714597
75,1017.2848834640134
77,16033.27180661099
78,12117.458347920277
79,14132.778361885068
80,15194.318749099795
81,16843.579847252928
82,15534.08834307248
83,6922.6732100731515
