fishnetid,CO2
0,2068.3827877192116
1,9248.63668731052
2,28945.343996753327
3,5657.121532502129
4,7499.920772845905
5,3507.804080906081
6,2565.0754079103335
7,624.9530371362868
9,14899.286908524005
10,15870.554586110098
11,43752.90899732226
12,38496.187644638994
13,26978.358790981336
14,22423.077556998916
15,2041.4598650769751
16,3704.528827947418
18,490.0881721308474
19,10864.611963075897
20,10304.068861126032
21,10167.658913624502
22,16333.111396485945
23,14383.495118768744
24,30170.785420976878
25,16818.528713365024
26,41488.65817268084
27,25017.45659516384
28,11327.966779248012
29,3075.284579426644
30,3368.138248594664
31,15780.018734435038
32,42850.30594558572
33,34627.756614639664
34,3010.057516733822
35,7173.314998323724
36,55552.79026071162
37,12289.889806954194
38,4519.560104004532
39,1270.5214538840767
40,22689.547245282716
41,47930.22292533969
42,15853.890972706504
43,22905.83704636471
44,4820.064544216117
45,38869.75642351745
46,9311.920412856103
47,5928.271767871773
48,1749.7560862980913
49,36201.100803355585
50,11221.277667328168
51,21210.90208222856
52,23619.959899307898
53,10829.883003870202
54,43394.673772631875
55,22648.655054837203
56,55613.52192014232
57,5964.998756747134
58,5589.411846500191
59,12527.119389245661
60,9616.067262183657
61,11882.076474160798
62,4098.236312486729
63,8992.818165870263
64,18187.4079495976
65,21109.09362320865
66,11821.238042997627
67,9113.432017549947
68,13149.758464053299
69,30790.60427965499
70,26158.53328163109
71,24663.20275719236
72,25574.817083580856
73,1572.9938058143894
74,14704.417413218529
75,15687.723816584072
76,20541.005126648208
77,10530.742771028921
78,9881.270120674066
79,5737.101507845634
80,6238.640451339496
81,11343.129060036772
82,82920.64806533343
83,11818.507599140266
84,6522.199481114677
85,4601.91294250661
86,21038.132348931857
87,14665.900258711044
88,16228.81842328949
89,12524.917379467373
90,24185.45920900508
91,30506.073402563663
92,19292.93309659705
93,18309.50563389257
94,28625.245949797518
95,20675.21434474352
96,13601.089930952876
97,12112.727499898898
98,70840.08609686316
99,145739.47403061073
100,63082.80822909941
101,9714.6956108548
102,1993.82444351822
103,38566.701721103214
104,60634.12849373425
105,15376.691853840273
106,8375.846028129285
107,40069.70018048559
108,28779.722969353956
109,18651.57384792012
110,23818.893531885584
111,17107.26447319159
112,110363.31196812364
113,5697.401902216382
114,20471.279834819386
115,14445.562476656221
116,10952.78519682617
117,14116.895565273873
118,7646.5212803569375
119,9837.635379351035
120,18152.669283773623
121,10147.169659605486
122,16075.709286143905
123,8450.426658828239
124,20155.722752974314
125,24619.930870039392
126,10310.406374825066
127,9831.218803670827
128,19136.618165750006
129,3783.6406771908296
130,13514.32843113794
131,14774.239427937486
132,2857.0921075447163
133,4047.099032904344
134,20306.62060717882
135,12519.551546813524
