fishnetid,CO2
0,8132.069440805726
1,15838.770995543486
4,11042.336157142936
5,18700.21804084293
6,9408.285891083482
7,12843.991590064707
8,30753.181908744686
9,6305.2442377561965
10,17451.563545931403
11,6302.593954795653
12,7220.631074393475
13,52191.45975105698
14,11620.241518740457
15,36830.95675399949
16,32747.818008113478
17,46999.45451770414
18,45399.38083157396
19,52322.6625867582
20,1627.8317235391132
21,8202.442297044588
22,40110.95100157648
23,21014.258731529324
24,14228.214892891583
25,15073.90320469654
26,23566.04667352806
27,21400.792854624513
28,16496.457279622675
29,19621.109155342965
31,10777.266801965214
32,12719.60819049468
33,23681.51636203593
34,21458.216083245992
35,34863.549357330034
36,21302.26712533336
37,25317.37962513058
38,16899.630215513458
39,7744.894613820072
40,24108.84364222185
41,8872.508459192153
42,27866.81595537948
43,33734.58189955969
44,40309.63202896583
45,37597.00256678452
47,8155.996732488102
48,4344.8517206464785
49,15640.575091315273
50,13049.813764612367
51,31415.69160220567
52,31913.039936219397
53,1745.9324541414057
