fishnetid,CO2
0,5480.382860998391
1,12935.735426142975
2,9496.391385487166
3,15489.331090788306
4,22572.6549290465
5,25515.248610124007
6,16643.46123091854
7,13026.287849196058
8,5496.3374325972345
9,15070.306202021022
10,17353.118273479828
11,14109.842736928516
12,7246.249902803363
13,12857.785861346973
14,18318.885733573105
15,31981.488945020006
16,10459.653745076244
17,16191.768776390372
18,31595.534384053764
19,18540.565368512252
20,20556.199427703694
21,15478.76514564306
22,14503.511958179171
23,17840.62441202609
24,29522.46022981829
25,4548.114403150523
26,10780.291523624712
27,5241.477964957011
28,8322.814482185851
29,7446.484480305515
30,9959.778960608917
31,3241.336289751219
32,6169.9459128241115
33,13218.04405063708
34,47195.96791463515
35,30348.224528308867
36,30106.613889524335
37,19900.944474151504
38,15917.8591913564
39,26160.15875960764
40,11057.603623884625
41,24930.073119398483
42,32411.485122027505
43,53117.54162912752
44,37221.02987012124
45,13063.211757390629
46,22893.56617265497
47,15890.520381410384
48,10781.872964241553
49,12033.65372617673
50,8558.708891790273
51,12283.624626741279
52,10868.12810417158
53,34224.98363145167
54,13585.009601808604
55,10581.164198602413
56,18481.15441670069
57,5693.9904173903205
58,25525.69520717372
59,20920.92781060953
60,21918.83319376076
61,4075.733584314071
62,10137.182862398711
63,10701.548612213039
64,6851.855736221883
65,8936.6565075394
66,7843.432392797363
67,1665.9571992764254
68,3925.572085939982
69,9408.048255278338
70,11553.701931328038
71,2829.4198862582343
72,5683.442608543586
73,4668.57849510267
74,3341.772899634856
75,1239.4020221068479
76,8230.73787214424
77,4523.121126929071
78,31054.584860702005
79,10416.745101807097
80,12288.293083653489
81,11057.557553670295
82,14273.066377153955
83,25582.668927883755
84,19139.07540302972
85,9025.858166076889
86,5698.116004454224
87,12278.97759070682
88,8288.043739444234
89,6366.758196572176
90,3531.5891250922723
91,15418.446341570836
92,21253.035511310263
93,24003.163836856078
94,20648.292485427606
95,13901.575056380963
97,15562.357217320012
98,22961.887649784057
99,420.8242796293166
100,8545.561006263812
101,21991.292533032636
102,4083.1596619461043
