fishnetid,CO2
0,16903.32342113301
1,24243.90840409689
2,4331.411854018306
3,1664.1487535167514
4,18677.98858365051
5,26978.539747654682
6,7554.689373688221
7,3824.9189095249267
8,14091.63802396337
9,28065.336284801786
10,22396.437121465802
11,10078.780422438966
12,11022.698699621305
13,6742.391702640901
14,14586.196626080013
15,23406.05702898191
16,14213.472807835285
17,4259.1031783617855
18,18408.992084334477
19,9155.072202922469
20,18653.729602141295
21,3085.2318019097165
22,21422.084787498774
23,14058.190901174505
24,16717.712885440193
25,18928.200300620483
26,13553.604442355181
27,6729.616865395118
28,12637.531357423157
29,6207.432628322168
30,11518.783321719091
31,15742.485019662901
32,7489.282815773975
33,6543.248024916861
34,17705.211134803998
35,12971.753303277632
36,6106.768748727756
37,5587.580605041626
38,12936.154714695625
39,5853.964932392364
40,3858.5862121330815
41,8733.936642766841
42,13841.422233246345
43,13038.616377838072
44,23284.514789808327
45,18027.158313136515
46,6823.694667208557
47,1035.9278338424624
48,3304.575228679679
49,28424.16873165177
50,7379.790905858693
51,6348.83968063847
52,10142.584629678238
53,4998.560634863184
54,4495.564320269519
55,6171.504718782629
56,9990.615814324185
57,3058.4006431709718
58,4643.068150152472
59,31405.133144182008
60,23805.45440231347
61,8484.767072142606
62,24468.207351192308
63,12398.382295544412
64,34350.03114857809
65,23084.01849845396
66,7537.9865454567625
67,23761.64651243974
68,4598.313668952236
69,9978.026129827598
70,14977.868110926005
71,39501.18931379033
72,48251.815312346356
73,42195.84405598702
74,53666.41708111301
75,17980.184993930743
76,17961.798173555195
77,3780.4533592101297
78,20849.085686302795
79,5807.959670108563
80,7720.662697708131
81,8809.95039251248
82,11353.900605417548
83,17453.401937930816
84,3306.7746906876514
85,23842.233280723594
86,4122.011864098194
87,7012.888100217392
88,13804.055666523709
91,10869.823429023449
92,11268.63944980562
93,28764.953463076803
94,813.9498581217273
95,11370.791947954998
99,6059.208303854588
100,2366.5445080999084
101,22094.523401970342
102,5453.495692223377
103,1322.4846737724183
104,6297.196188541335
105,5878.307938691656
106,10867.379261699674
107,10238.75879758114
108,1548.485688047033
109,8353.63505562212
110,5532.55407395042
111,6560.654047018674
112,6358.266092510161
