fishnetid,CO2
0,7520.062799826869
2,4188.137896498143
3,71443.72261975479
4,100462.67865384297
5,63802.96476322495
6,89495.38684428623
7,44649.438894995874
8,92482.65952204153
9,75880.93851015756
10,21512.39191230541
11,8566.336520681913
12,59527.497966105235
13,94885.24564468591
14,42983.017132486755
15,117776.52120984158
16,41869.20402091118
17,52542.63660811088
18,52839.147510841576
20,9014.585725912182
21,44685.08265204085
22,40599.65688397704
23,4899.066493799879
24,93318.76685599516
25,20746.647074985554
26,38210.63424739255
27,66938.69543434064
28,72899.57408416054
29,85063.37935038867
30,34379.71742119447
31,19305.826847622717
32,52687.09950450907
33,26806.024694076874
34,36658.63100899232
35,42338.72666901644
36,96265.85670208548
37,49509.71701175921
38,6935.33732194501
39,87289.5613177611
40,52807.04052742547
41,41839.71612412071
42,68125.61010759787
43,29609.59118960074
44,23717.96349166487
45,25560.626810430214
46,37929.2342128584
47,37899.11881507417
48,36484.42404100887
49,47555.131842132665
50,31379.847219738993
51,110325.26363809974
52,71358.11608866982
53,57901.49768392444
54,44128.22842197007
55,48587.275365786285
56,25776.59998864551
57,70439.84892023576
58,32044.277266236993
59,67330.1236122676
60,71122.3562324621
61,111552.1144233013
62,58644.134577814104
63,58351.85438444028
64,60224.87726172174
65,71186.60128536653
66,53095.04149741937
67,41405.294873968676
68,54898.068626118446
69,25898.54375958559
70,143442.84871207623
71,117609.76598636419
72,67205.73128506473
73,35306.68415718539
74,27978.77172285038
75,4053.8536524166784
76,55824.530116976086
77,1243.519303070615
78,70522.79520575944
79,54813.29050637073
80,65846.20689404754
81,60930.41769901587
82,17946.09354381607
83,52759.262732259325
84,62570.075908053295
85,45010.214564982205
86,57979.892418803276
87,81519.47337493626
88,45277.16073882002
89,27280.245636034102
90,38985.42964651881
91,68638.15331070412
92,33080.478407918636
93,27007.54745184595
94,23656.32621641261
95,35683.578731974965
96,40984.148545128905
97,39022.91911901456
98,17371.668147513497
99,40140.18358896703
100,36698.05841585489
101,29353.628073869666
102,22640.308383709238
103,17555.671852762007
104,45133.54107210578
105,30699.508578967303
106,19741.502762606222
107,41580.22260011086
108,40776.33493412231
109,41749.14014515519
110,35857.311800244024
111,31777.214023408567
112,16051.255397982739
113,17186.386643615628
114,34436.10384275971
115,31857.582305028158
116,28393.615486237304
117,33384.67322394803
118,58653.66931125822
119,18681.49454557349
120,23633.67735275125
121,93150.79187192515
122,52642.4175722344
123,28228.737832492676
124,80936.12973095843
125,109584.36818499958
126,134832.18600356014
127,28683.086527665597
128,57239.35400376005
129,38633.75200222333
130,30133.536756886744
131,19198.46254026794
132,35677.62435029351
133,39160.10336043962
134,11242.70455600487
135,29796.9361834583
136,42781.640608804344
137,29372.6550902746
138,32328.630586304556
139,44835.56936118523
140,28537.02153076354
141,40498.93445519691
142,32037.68356484455
143,29096.646543425497
144,44570.07310074816
145,39519.42280202
146,24273.49505337501
147,24490.275916283143
148,16996.862471891985
149,30145.918837598878
150,14524.442577447968
151,25096.736384601452
152,33198.87473763954
153,10906.410188645215
154,29646.82286577056
155,28060.07668629744
156,23532.300912400788
157,30321.676694867318
158,52963.01235485029
159,23506.722003885774
161,74120.11069890574
162,32143.719914596342
163,32777.59738346808
164,55952.0175263203
165,37229.45335965502
166,62620.25164400198
167,37361.01221523079
168,66259.96594935213
169,133669.87487938974
170,69141.77621158713
171,55574.57152765861
172,43009.44946325549
173,42650.188314762585
174,85869.7302921735
175,25691.163892668425
176,31525.344157170442
177,40844.256810228035
178,17413.688084580237
179,54691.557188424114
180,41867.04605947518
181,47931.01762993105
182,66438.44245361516
183,22072.96365433097
184,31263.509281173436
185,68003.50894740793
186,87678.80320842835
187,97570.03194192339
188,118997.26707302198
189,74341.30270234222
190,62970.28420744936
191,17354.950830362184
192,59066.05708322297
193,60369.86025780173
194,46825.15757816834
195,50645.15375692207
196,63647.3696238968
197,41763.47541266305
198,40249.57842903782
199,29136.198296076538
200,64245.4710117746
201,84813.8120799333
202,100351.476255409
203,78800.09154325599
204,60145.53170766545
205,34116.22708125072
206,67187.78473163878
207,61650.0062991805
208,62746.85718150803
209,111014.47218296146
210,65530.0247475455
211,53180.65945663617
212,42552.593529045924
213,5978.437003367474
214,8092.89552250217
