fishnetid,CO2
0,4057.45101268116
1,6904.44851478811
2,713.4232689426927
3,34362.503128308046
4,7558.282969191918
5,36380.95301227159
6,14169.26854340685
7,5417.354951694492
8,6496.601737614576
9,61147.39494215895
10,39831.25158466371
11,32175.891820608435
12,12975.915723153836
13,35419.305165653896
14,9913.123393752201
16,18883.324841353202
17,9834.100437139086
18,28804.234032860317
19,13442.610556798496
20,21283.134877853103
21,26665.901032951777
22,7315.638961030914
23,40457.41245186278
24,48056.11421352735
25,41864.74949356424
26,5337.363646849125
27,12004.294284356218
28,25497.501492242867
29,13585.524445458112
30,14305.016964413182
31,80316.7334235326
32,48336.69032179789
33,46733.67294556957
34,32976.029285196644
35,21243.815754303043
37,12431.640594288187
38,15245.299107907256
39,4334.821977206772
40,16694.52971310731
41,19932.606154437053
42,10611.10671523386
44,12365.41088938247
45,29507.990061317967
46,9750.012508275717
47,23244.89062595175
48,13615.590529052995
49,72023.00517552719
50,52828.22929868107
51,34834.040644428744
52,21342.793187015664
53,49975.853956030835
54,56450.156654130995
55,28498.523793266224
56,11155.423561095256
57,6716.468172608786
58,21064.69707737954
59,52130.68557486675
60,24630.455113760585
61,10430.932584292086
62,29514.692668935877
63,44034.71933391434
64,42313.17042992418
65,49311.015005979534
66,29895.135871079536
67,3649.619594395678
68,22406.98469516104
69,22585.159518722296
70,33829.935739220266
71,12989.384876723652
72,8039.702472834672
