from,to,length,capacity,volume,EstimatedTT,Speed,CO2
581020614,29217073,47.039,900,1550.129641815762,5.5428583468023,8.486415682467696,19.91350846244664
29793425,29793610,269.456,700,496.9554870251543,19.75733601908379,13.638275916334571,28.325502088166456
29217073,246283590,16.661,900,2566.880322506704,6.9414477909075485,2.4002197382834,28.406017266539283
29793427,29793610,128.154,700,1185.3107945264435,10.311021650679995,12.428836282343413,33.27656852554394
29793610,208721773,435.66999999999996,700,1265.1774084104463,55.582431922709496,7.838268044943116,159.36579606167192
215084065,29237094,315.14,2000,5564.9400033688735,18.577968173596716,16.963103664257623,353.306463591926
2133247519,98425546,198.177,2000,2346.6624388448,10.946216970052008,18.104610984982003,93.11314774302492
29237094,2133247519,270.023,2000,3112.141114007305,14.51486360892735,18.603206153030794,167.98278299732576
29237094,5239457462,591.618,2000,2452.7988893615693,33.11359496678758,17.866317462461677,290.8291870829613
581020609,245569271,1539.625,700,1574.1165670161856,151.35757581705246,10.172103984150494,588.2177407303393
581020614,581020609,61.173,900,838.449522737161,8.244323007382452,7.420014953953417,15.4448619911704
246283590,227778611,1236.896,900,1302.7470511800825,94.64297951308637,13.069072913421678,346.00860058359495
4625168023,246283590,1546.836,700,1768.4169007093417,176.19449748397432,8.779139088271991,729.7020672175911
32124695,29793427,193.638,700,1223.7288754902702,23.361656815291667,8.288710065856794,65.80031970720846
208721773,427615136,16.533,700,1265.1774084104463,2.109266984135136,7.838268044943129,6.0476845003962225
29794284,29794285,147.161,700,1639.541987464343,15.152019640887323,9.712302616272352,60.23443541957643
29796354,29794284,13.542,700,991.9099077390964,1.2593904351907141,10.752821064540866,3.1582352457492227
29793425,29794284,321.903,700,1354.774671477988,27.823611564476632,11.569418271026494,98.70719397241953
29794280,29793425,417.32099999999997,700,1353.7085325671032,36.052104643520714,11.57549619159338,127.83234274001339
29794074,31776718,162.367,900,2549.794679300348,12.363032456481113,13.133266500071494,88.73750187468514
31705842,31776718,563.627,700,1036.729317999875,43.37108414097168,12.995455639707062,125.74004260261532
