fishnetid,CO2
0,2946.779903271875
1,3543.1238192853043
2,33233.53469052579
3,33538.898287143544
4,33433.73133240554
5,68780.64023655409
6,50398.24999597837
7,17654.413100127924
8,14253.018367879786
9,11801.687993200207
10,42438.94662529377
11,19293.265260732307
12,46499.90612222375
13,30035.5626424669
14,38714.204428669815
15,65659.78578086321
16,31990.002204034296
17,52109.298349380515
18,54057.52624493363
19,9920.701450907403
20,41756.810648021055
21,32114.221993585936
22,37700.16293013099
23,48740.38042606686
24,16239.361836052492
25,14925.726354405153
26,47415.80287810197
27,48022.36047812573
28,36113.07144345734
29,23163.26256792295
30,37686.254642075735
31,55500.121470567894
32,20144.958247294217
33,3714.3654038409777
34,50534.9055142379
35,57432.9802514639
36,99625.59558468244
37,107790.84015374885
38,23043.154980446743
39,86250.49387828934
40,36234.8203325045
41,44386.252576232546
42,19428.77817050376
43,41198.54003801909
44,28245.746076255993
45,50932.12780029506
46,42205.269717810144
47,43866.42335110621
48,17419.141281392614
49,73198.08708630838
50,76660.74086796191
51,23766.2552892388
52,45048.36606282985
53,41500.49643022154
54,19584.662010031883
55,86998.61895020527
56,35047.57430823775
57,81355.52360862454
58,56020.35117430525
59,29175.738472643086
60,55667.662209573544
61,42605.07868603506
62,25464.1641125577
63,16851.92275170867
64,76665.36987606027
65,34672.00162828636
66,30710.641183787076
67,58814.3422802386
68,32567.758196905528
69,82882.41877215842
70,48592.201194228
71,104591.51620797496
72,74793.78017736721
73,57045.72790030467
74,31195.549826269984
75,57281.21349430078
76,62084.30723120164
77,43328.78995248385
78,43995.32873429082
79,31207.688063948695
80,32151.145394576677
81,52829.10821643676
82,27008.322339214657
83,44884.978029100464
84,52569.30251293482
85,133504.44923183532
86,24005.158589063256
87,41471.414025590595
88,45901.62158695218
89,46953.59908628015
90,54922.50758974876
91,153721.59833501777
92,10672.178555367012
93,7705.947480640141
94,38892.72435621176
95,89175.05972919983
96,39285.001812810064
97,50932.15912504549
98,23899.005923359724
99,18799.7606174732
100,32439.606098040807
101,31611.384351942208
102,39470.311671829244
103,55979.9198363172
104,82840.72469949523
105,114049.92521074272
106,76340.75796786461
107,68971.45729760906
108,55429.464248320444
109,14193.758980844896
110,32486.335542554512
111,47482.65731258553
112,94574.5793238668
113,93828.1984866772
114,47887.723983090524
115,54747.41988453385
116,68953.91688013983
117,41497.28748658357
118,27249.362852133196
119,7175.44424935555
120,12227.497948908966
121,27698.83581156597
122,21511.39880249912
123,22082.76761853709
124,18459.625271875197
125,21918.987814038166
126,24889.72287752933
127,16462.363167341242
