fishnetid,CO2
0,1270.710541291945
1,8720.149236922038
2,15087.366042815245
3,4176.560790959243
4,3318.1891724844572
5,8323.0533453636
6,8940.00629089946
7,12390.480261224877
9,2137.1748907339347
10,13392.256235064184
11,15476.606741315238
12,4623.853752207791
13,3837.671990360071
14,3843.1016593450654
15,3045.907328068214
16,6895.93308949286
17,11507.756200677435
18,6318.186296000755
19,10932.110005864633
20,9828.275542229108
21,12079.981548830214
22,9659.231302558244
23,9931.645396560807
24,15668.957538818067
25,8340.790765465814
26,5232.939495873003
27,7245.0015229398105
28,11154.248537531646
29,20548.101300564445
30,12056.085442386206
31,17742.60022317177
32,19218.613139404813
33,10785.965489288252
34,11500.025732549
35,12171.398950222181
36,8387.05501437976
37,15498.991232365226
38,8787.666034331203
39,11736.42849781675
40,11051.221044985885
41,16555.008449243956
42,12387.589821689004
43,6709.630169926295
45,11141.748472768624
46,11207.401204236721
47,8763.843623436738
48,16394.450366520847
49,8254.719249444084
50,9997.72437564721
51,9849.961011621937
52,6288.734811056918
53,11370.743111420526
54,4843.763830829132
55,5196.037792287965
56,13636.063662906412
57,6468.643586514796
58,9359.797184853946
59,7632.9915918978495
60,12855.308612715546
61,12796.101322013312
62,2143.8950174280167
63,6135.728741187222
64,10403.978312012983
65,6887.647171639226
66,6967.201634449849
67,1505.6578740229925
68,11226.635867511166
69,23633.171066720173
70,4782.958301767208
71,3618.420975260792
72,3270.0242383055256
73,6032.552747038884
74,17369.885163094754
75,9269.545724364503
76,7058.539070587595
77,920.9556732053654
78,566.0075146364021
79,4161.275977961434
80,15290.544100246329
81,7054.575242645795
82,11745.968641249883
83,12248.4715143036
84,12447.575828564264
85,7254.9135121651225
86,1570.309923168335
87,726.7075329283932
88,12782.263580189514
89,4191.71638420828
91,14976.900889028784
92,13782.621969934047
93,11213.212188964191
94,8603.894050525765
95,3727.7043178793156
96,2402.9675003104203
99,1083.1007622222426
100,4215.762073659649
101,7915.3433762196455
102,3390.315488515281
