fishnetid,CO2
0,10829.034406572047
1,8886.554828222394
2,20145.06715305999
3,9447.588014016726
4,6255.226673225575
5,11838.304879085508
6,19036.632899807202
7,12652.990098257207
8,11827.550527648487
9,6319.4526226682765
10,10561.976797831985
11,2158.9731122765943
12,7415.5491471667965
13,15796.392095183322
14,6343.797684009232
15,16047.000874278207
16,11558.759264553082
17,7355.737849155812
19,11587.636645572267
20,7611.133336290039
21,15800.767327777075
22,8567.874678106324
23,13913.054066385725
24,8485.180871858647
25,7162.339577574913
26,10124.72695504165
27,7519.763457728493
28,3936.844497198018
29,6585.081789472478
30,12307.717197744392
31,9977.510757465509
32,20486.867162057246
33,19053.49440671575
34,4312.360059779011
35,3136.9250866867987
36,18252.58483315014
37,17910.334914845003
38,3724.1952983384795
39,6651.201683967204
40,14354.0987237253
41,22601.633601144953
42,27574.969544383865
43,26335.938084004145
44,6624.430574887584
