fishnetid,CO2
1,973.2348304670586
2,2211.7045012617587
3,2126.1865758218196
4,4352.235063222763
5,14796.090661420152
6,6133.32228879041
7,1641.0790911433462
8,757.8267150221409
9,4088.0668525680994
10,3580.3899436166434
11,1459.4565621244378
12,2727.726471460412
13,9480.478233079046
14,9889.700610518546
15,6210.691381308343
16,7675.216640472627
17,450.2697280416012
18,4134.609455738685
19,12844.460424587594
20,12820.866395338167
22,1502.393634384305
23,6541.717891359401
24,6347.814052034061
25,13865.357071691531
26,10164.730284960768
27,8164.640950117013
28,10963.64980161118
29,4247.453555970534
30,6152.25883170188
31,5786.039368399788
32,11990.94947606289
33,18641.78330989163
34,24387.93628936237
35,5847.613771132985
36,5686.885073376715
37,5234.517839244621
38,10259.40005954352
40,24277.737281199163
41,9020.802275525866
42,13845.02242320526
44,12310.983257999196
45,13320.856808400125
46,14840.790677171924
47,8034.283530580288
48,23252.106599193015
49,3197.3684193591457
50,9485.008321496673
51,8212.605032351557
52,4064.3175930957204
53,26912.928843199556
54,7893.967227901797
55,20743.27456177341
56,18348.018805579497
57,13234.354217600954
58,15708.291318298496
59,20282.948934468404
60,5791.732318276907
61,23289.581201858564
62,1522.9328692055055
63,6968.978286374524
64,3989.9849467549793
65,14289.028059541923
66,21169.662542755315
67,34726.43254003574
68,22263.890735447316
69,6887.639256012185
70,7959.226172855418
72,24958.542247331465
73,2583.813598861475
74,25171.725696640427
75,2059.265458095108
76,9163.81633197614
77,41177.43625134669
78,21440.261992321888
79,12098.819629584605
80,15340.763227612137
81,25904.821866837843
82,24435.627948754478
83,8082.296327132621
84,22563.173259461764
86,16799.51917031203
87,11715.08653690568
88,23851.507946453316
89,11220.051135491898
90,11550.030297365347
91,13078.84088408291
92,4221.818089441602
93,4017.8624676139184
94,12840.355773823592
95,12092.961862613478
96,4521.998540354068
97,14668.15554889787
98,14230.603160283887
99,16322.325502537706
100,17613.27101067127
101,23225.316271351472
102,7885.41498719857
103,30278.904270498322
104,15624.585566808331
105,16265.372362327522
106,4882.720352473075
107,3229.928761028218
108,10980.271030795864
109,14367.901578132336
110,10637.497293225773
111,15790.90051462897
112,18514.90788065648
113,11889.241328858197
114,5737.827726362703
115,3511.8491873960547
116,12079.054902742004
117,7359.455645683857
118,8857.800567025322
119,5602.032219242451
120,1780.3902222257295
